./202010/LOT20201008/bias-dark/Dark-20201008@211355-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214518-030S.fts 	 2048x2048 	 30S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214056-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214237-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214221-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214113-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214015-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213831-002S.fts 	 2048x2048 	 2S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214709-030S.fts 	 2048x2048 	 30S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213852-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214632-030S.fts 	 2048x2048 	 30S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214311-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214442-030S.fts 	 2048x2048 	 30S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214900-030S.fts 	 2048x2048 	 30S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214405-030S.fts 	 2048x2048 	 30S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214254-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214328-030S.fts 	 2048x2048 	 30S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213823-002S.fts 	 2048x2048 	 2S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214204-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213710-002S.fts 	 2048x2048 	 2S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214003-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213927-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214027-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214147-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213840-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213746-002S.fts 	 2048x2048 	 2S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214130-010S.fts 	 2048x2048 	 10S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213951-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214746-030S.fts 	 2048x2048 	 30S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214823-030S.fts 	 2048x2048 	 30S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213736-002S.fts 	 2048x2048 	 2S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213939-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213728-002S.fts 	 2048x2048 	 2S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213805-002S.fts 	 2048x2048 	 2S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213814-002S.fts 	 2048x2048 	 2S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213755-002S.fts 	 2048x2048 	 2S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@214556-030S.fts 	 2048x2048 	 30S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213904-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
./202010/LOT20201009/bias-dark/Dark-20201009@213915-005S.fts 	 2048x2048 	 5S 	 DARK 	 light 	 N/A
