./202010/slt20201010/wchen/wchen_03_FU_Ori/FU_Ori-20201010@203815-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201009/wchen/wchen_03_FU_Ori/FU_Ori-20201009@182552-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201009/wchen/wchen_03_FU_Ori/FU_Ori-20201009@182915-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201009/wchen/wchen_03_FU_Ori/FU_Ori-20201009@182747-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201009/wchen/wchen_03_FU_Ori/FU_Ori-20201009@182844-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201011/wchen/wchen_03_FU_Ori/FU_Ori-20201011@192940-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201011/wchen/wchen_03_FU_Ori/FU_Ori-20201011@192841-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201011/wchen/wchen_03_FU_Ori/FU_Ori-20201011@193010-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201011/wchen/wchen_03_FU_Ori/FU_Ori-20201011@193035-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201011/wchen/wchen_03_FU_Ori/FU_Ori-20201011@193202-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201011/wchen/wchen_03_FU_Ori/FU_Ori-20201011@193132-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201006/wchen/wchen_03_FU_Ori/FU_Ori-20201006@185308-B_Astrodon_2018.fts 	 2048x2048 	 20S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201006/wchen/wchen_03_FU_Ori/FU_Ori-20201006@185443-R_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201006/wchen/wchen_03_FU_Ori/FU_Ori-20201006@185231-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201006/wchen/wchen_03_FU_Ori/FU_Ori-20201006@185127-B_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201006/wchen/wchen_03_FU_Ori/FU_Ori-20201006@185206-V_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201006/wchen/wchen_03_FU_Ori/FU_Ori-20201006@185413-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201015/wchen/wchen_03_FU_Ori/FU_Ori-20201015@193213-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201015/wchen/wchen_03_FU_Ori/FU_Ori-20201015@193504-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201015/wchen/wchen_03_FU_Ori/FU_Ori-20201015@193312-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201015/wchen/wchen_03_FU_Ori/FU_Ori-20201015@193535-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201015/wchen/wchen_03_FU_Ori/FU_Ori-20201015@193343-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201015/wchen/wchen_03_FU_Ori/FU_Ori-20201015@193408-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201008/wchen/wchen_03_FU_Ori/FU_Ori-20201008@183941-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201008/wchen/wchen_03_FU_Ori/FU_Ori-20201008@184304-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201008/wchen/wchen_03_FU_Ori/FU_Ori-20201008@184233-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201008/wchen/wchen_03_FU_Ori/FU_Ori-20201008@184111-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201008/wchen/wchen_03_FU_Ori/FU_Ori-20201008@184136-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201008/wchen/wchen_03_FU_Ori/FU_Ori-20201008@184041-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201007/wchen/wchen_03_FU_Ori/FU_Ori-20201007@185500-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201007/wchen/wchen_03_FU_Ori/FU_Ori-20201007@185430-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201007/wchen/wchen_03_FU_Ori/FU_Ori-20201007@185525-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201007/wchen/wchen_03_FU_Ori/FU_Ori-20201007@185330-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201007/wchen/wchen_03_FU_Ori/FU_Ori-20201007@185651-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201007/wchen/wchen_03_FU_Ori/FU_Ori-20201007@185621-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201012/wchen/wchen_03_FU_Ori/FU_Ori-20201012@184701-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201012/wchen/wchen_03_FU_Ori/FU_Ori-20201012@184856-B_Astrodon_2018.fts 	 2048x2048 	 30S 	 LIGHT 	 FU_Ori 	 B_Astrodon_2018
./202010/slt20201012/wchen/wchen_03_FU_Ori/FU_Ori-20201012@185023-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
./202010/slt20201012/wchen/wchen_03_FU_Ori/FU_Ori-20201012@184953-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201012/wchen/wchen_03_FU_Ori/FU_Ori-20201012@184801-V_Astrodon_2018.fts 	 2048x2048 	 10S 	 LIGHT 	 FU_Ori 	 V_Astrodon_2018
./202010/slt20201012/wchen/wchen_03_FU_Ori/FU_Ori-20201012@184831-R_Astrodon_2018.fts 	 2048x2048 	 5S 	 LIGHT 	 FU_Ori 	 R_Astrodon_2018
