./202010/slt20201010/bias-dark/Bias-20201010@210925-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201009/bias-dark/Bias-20201009@213908-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201009/bias-dark/Bias-20201009@213936-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201009/bias-dark/Bias-20201009@213828-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201009/bias-dark/Bias-20201009@213854-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201009/bias-dark/Bias-20201009@213929-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201009/bias-dark/Bias-20201009@213840-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201009/bias-dark/Bias-20201009@213915-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201009/bias-dark/Bias-20201009@213847-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201011/bias-dark/Bias-20201011@212220-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201011/bias-dark/Bias-20201011@212249-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201011/bias-dark/Bias-20201011@212143-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201011/bias-dark/Bias-20201011@212158-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201011/bias-dark/Bias-20201011@212234-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201011/bias-dark/Bias-20201011@212242-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201011/bias-dark/Bias-20201011@212206-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201011/bias-dark/Bias-20201011@212256-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201011/bias-dark/Bias-20201011@212227-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201011/bias-dark/Bias-20201011@212213-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201006/bias-dark/Bias-20201006@204010-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201006/bias-dark/Bias-20201006@203957-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201006/bias-dark/Bias-20201006@203950-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201006/bias-dark/Bias-20201006@204004-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201006/bias-dark/Bias-20201006@203929-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201006/bias-dark/Bias-20201006@204017-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201006/bias-dark/Bias-20201006@203936-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201006/bias-dark/Bias-20201006@203905-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201006/bias-dark/Bias-20201006@203943-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201006/bias-dark/Bias-20201006@203922-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201008/bias-dark/Bias-20201008@210701-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201008/bias-dark/Bias-20201008@210722-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201008/bias-dark/Bias-20201008@210640-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201008/bias-dark/Bias-20201008@210729-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201008/bias-dark/Bias-20201008@210633-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201008/bias-dark/Bias-20201008@210715-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201008/bias-dark/Bias-20201008@210654-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201008/bias-dark/Bias-20201008@210708-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201008/bias-dark/Bias-20201008@210647-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201008/bias-dark/Bias-20201008@210618-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201007/bias-dark/Bias-20201007@212845-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201007/bias-dark/Bias-20201007@212852-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201007/bias-dark/Bias-20201007@212824-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201007/bias-dark/Bias-20201007@212913-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201007/bias-dark/Bias-20201007@212906-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201007/bias-dark/Bias-20201007@212831-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201007/bias-dark/Bias-20201007@212809-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201007/bias-dark/Bias-20201007@212859-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201007/bias-dark/Bias-20201007@212920-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201007/bias-dark/Bias-20201007@212838-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201012/bias-dark/Bias-20201012@215424-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201012/bias-dark/Bias-20201012@215327-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201012/bias-dark/Bias-20201012@215355-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201012/bias-dark/Bias-20201012@215341-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201012/bias-dark/Bias-20201012@215403-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201012/bias-dark/Bias-20201012@215334-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201012/bias-dark/Bias-20201012@215417-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201012/bias-dark/Bias-20201012@215310-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201012/bias-dark/Bias-20201012@215348-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
./202010/slt20201012/bias-dark/Bias-20201012@215410-000S.fts 	 2048x2048 	 0S 	 BIAS 	  	 N/A
