./202010/slt20201010/bias-dark/Dark-20201010@212140-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211422-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212328-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212920-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211123-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212355-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211545-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211405-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211825-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211720-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211508-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211241-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211349-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212500-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211023-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212234-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@211614-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201010/bias-dark/Dark-20201010@212843-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211242-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211140-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211349-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@212451-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@212103-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@212719-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211916-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211822-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211630-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@212009-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@212129-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211726-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@212605-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@212338-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@212756-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@212156-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211440-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@212642-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211423-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211849-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211942-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211205-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211229-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211217-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@212224-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211707-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211658-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211744-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211603-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211128-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211716-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211530-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@212301-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211331-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211640-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211317-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211405-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211621-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211546-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@212528-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@212415-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211152-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211305-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211755-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@212036-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211513-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211735-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211649-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211253-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201005/bias-dark/Dark-20201005@211456-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@215956-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220944-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221008-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221156-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220816-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220451-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220501-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220033-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220109-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221823-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220510-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220251-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220708-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221708-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220604-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220646-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221411-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220021-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220623-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221345-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220216-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221745-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220922-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220859-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220837-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221251-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221554-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221129-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220528-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220342-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220308-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221318-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220613-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220433-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220325-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221900-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220546-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220753-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220009-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221035-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220121-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220159-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220416-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221631-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220359-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220134-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@222014-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220519-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221223-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220555-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221102-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220537-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221517-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221937-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220057-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220045-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220146-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220731-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@221439-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201014/bias-dark/Dark-20201014@220233-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215845-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214057-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214803-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214222-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214719-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214635-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214135-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214526-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214021-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215142-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214256-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215115-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215958-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214239-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214421-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214535-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215329-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214846-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214009-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214507-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@213956-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214517-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214954-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215501-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214554-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214614-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214034-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215807-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@213944-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214544-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214148-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215424-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215021-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215653-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215539-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215921-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214741-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214347-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215356-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214122-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215236-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214110-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214330-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215048-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215616-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214046-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215209-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214931-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214205-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214908-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215302-020S.fts 	 2048x2048 	 20S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214657-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@215730-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214603-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214448-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214458-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214439-002S.fts 	 2048x2048 	 2S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214404-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214313-010S.fts 	 2048x2048 	 10S 	 DARK 	  	 N/A
./202010/slt20201009/bias-dark/Dark-20201009@214825-015S.fts 	 2048x2048 	 15S 	 DARK 	  	 N/A
./202010/slt20201011/bias-dark/Dark-20201011@212430-005S.fts 	 2048x2048 	 5S 	 DARK 	  	 N/A
./202010/slt20201011/bias-dark/Dark-20201011@213938-030S.fts 	 2048x2048 	 30S 	 DARK 	  	 N/A
